$: |0| finalbitnum: |0| firstbitseller: |0|monero_last_rate: |0| num: |1.0|random_num: |0
$: |66.3274| finalbitnum: |51.68845242857142| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |46.0|random_num: |14.61576611218146
$: |66.3274| finalbitnum: |51.68845242857142| firstbitseller: |59.652763|monero_last_rate: |44.00732| num: |47.0|random_num: |10.968715352809397
$: |66.3274| finalbitnum: |51.73286485714286| firstbitseller: |59.96365|monero_last_rate: |44.00732| num: |48.0|random_num: |16.39042246372298
$: |66.3274| finalbitnum: |51.78949285714286| firstbitseller: |59.96365|monero_last_rate: |44.00732| num: |49.0|random_num: |12.374960559323323
$: |66.3274| finalbitnum: |51.78949285714286| firstbitseller: |59.96365|monero_last_rate: |44.00732| num: |50.0|random_num: |11.843392586742262
$: |66.3274| finalbitnum: |51.78949285714286| firstbitseller: |59.96365|monero_last_rate: |44.00732| num: |51.0|random_num: |17.776636368421666
$: |66.3274| finalbitnum: |51.819585571428576| firstbitseller: |59.955783|monero_last_rate: |44.00732| num: |52.0|random_num: |12.529590220936496
$: |66.3274| finalbitnum: |51.819585571428576| firstbitseller: |59.955783|monero_last_rate: |44.00732| num: |53.0|random_num: |14.126502254679405
$: |66.3274| finalbitnum: |51.819585571428576| firstbitseller: |59.955783|monero_last_rate: |44.00732| num: |54.0|random_num: |11.387104760762563
$: |66.0784| finalbitnum: |50.789063571428564| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |55.0|random_num: |15.90236070548756
$: |66.0784| finalbitnum: |50.789063571428564| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |56.0|random_num: |13.27090504471002
$: |66.0784| finalbitnum: |50.789063571428564| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |57.0|random_num: |10.309482693835859
$: |66.0784| finalbitnum: |50.789063571428564| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |58.0|random_num: |14.914358018172797
$: |66.0784| finalbitnum: |50.789063571428564| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |59.0|random_num: |11.21271377441967
$: |66.0784| finalbitnum: |50.789063571428564| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |60.0|random_num: |15.664215662587495
$: |66.0784| finalbitnum: |50.789063571428564| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |61.0|random_num: |14.226253917575718
$: |66.0784| finalbitnum: |50.789063571428564| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |62.0|random_num: |11.861554085397113
$: |66.0784| finalbitnum: |50.80866085714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |63.0|random_num: |12.484797104979455
$: |66.0784| finalbitnum: |50.80866085714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |64.0|random_num: |16.174484130897966
$: |66.0784| finalbitnum: |50.80866085714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |65.0|random_num: |13.861309666299523
$: |66.0784| finalbitnum: |50.80866085714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |66.0|random_num: |16.66741672758615
$: |66.0784| finalbitnum: |50.80866085714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |67.0|random_num: |11.72845793623497
$: |66.0784| finalbitnum: |50.80866085714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |68.0|random_num: |11.884574290808214
$: |66.0784| finalbitnum: |50.702163571428585| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |69.0|random_num: |18.305859541189378
$: |66.0784| finalbitnum: |50.702163571428585| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |70.0|random_num: |18.32796904023699
$: |66.0784| finalbitnum: |50.702163571428585| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |71.0|random_num: |10.017461957115598
$: |66.0784| finalbitnum: |50.702163571428585| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |72.0|random_num: |19.851010087133105
$: |66.0784| finalbitnum: |50.702163571428585| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |73.0|random_num: |12.296443746208526
$: |66.0784| finalbitnum: |50.702163571428585| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |74.0|random_num: |13.93848471278
$: |66.0784| finalbitnum: |50.702163571428585| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |75.0|random_num: |18.16871676598978
$: |66.0784| finalbitnum: |50.702163571428585| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |76.0|random_num: |19.12990013167405
$: |66.0784| finalbitnum: |50.702163571428585| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |77.0|random_num: |11.763251551728436
$: |66.0784| finalbitnum: |50.702120714285726| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |78.0|random_num: |19.182461880005132
$: |66.0784| finalbitnum: |50.702120714285726| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |79.0|random_num: |16.001762485804445
$: |66.0784| finalbitnum: |50.702120714285726| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |80.0|random_num: |10.133269435763015
$: |66.0784| finalbitnum: |50.80808685714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |81.0|random_num: |18.165204353628386
$: |66.0784| finalbitnum: |50.80808685714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |82.0|random_num: |17.677276297321036
$: |66.0784| finalbitnum: |50.80808685714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |83.0|random_num: |16.547715558350227
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |84.0|random_num: |16.990532222261646
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |85.0|random_num: |10.443900183946212
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |86.0|random_num: |15.599245341064854
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |87.0|random_num: |12.381201901355864
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |88.0|random_num: |18.757131110762707
$: |66.0784| finalbitnum: |50.83134185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |89.0|random_num: |15.594033824008347
$: |66.0784| finalbitnum: |50.83134185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |90.0|random_num: |15.571948536419765
$: |66.0784| finalbitnum: |50.83134185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |91.0|random_num: |19.15351330350431
$: |66.0784| finalbitnum: |50.83134185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |92.0|random_num: |15.567983306892899
$: |66.0784| finalbitnum: |50.83134185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |93.0|random_num: |19.047615628350897
$: |66.0784| finalbitnum: |50.83134185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |94.0|random_num: |18.342068035102123
$: |66.0784| finalbitnum: |50.83134185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |95.0|random_num: |10.752420258874261
$: |66.0784| finalbitnum: |50.83134185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |96.0|random_num: |17.068910338110584
$: |66.0784| finalbitnum: |50.83134185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |97.0|random_num: |12.568437477813017
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |98.0|random_num: |19.723937728599658
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |99.0|random_num: |11.13742194967563
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |100.0|random_num: |10.496592942261847
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |101.0|random_num: |14.872808425828708
